DX DESCRIPTION,CUI
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of calf,C2883005
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of ankle,C2883006
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of ankle,C2883006
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of heel and midfoot,C2883008
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of heel and midfoot,C2883008
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of foot,C2883010
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of foot,C2883010
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of lower leg,C2883011
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of lower leg,C2883011
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of unspecified site,C2883012
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of unspecified site,C2883012
Atherosclerosis of other type of bypass graft(s) of other extremity with ulceration,C2883014
Atherosclerosis of other type of bypass graft(s) of other extremity with ulceration,C2883014
"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, right leg",C2883017
"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, left leg",C2883018
"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, bilateral legs",C2883019
"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, other extremity",C2883020
"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, unspecified extremity",C2883021
"Other atherosclerosis of other type of bypass graft(s) of the extremities, right leg",C2883023
"Other atherosclerosis of other type of bypass graft(s) of the extremities, left leg",C2883024
"Other atherosclerosis of other type of bypass graft(s) of the extremities, bilateral legs",C2883025
"Other atherosclerosis of other type of bypass graft(s) of the extremities, other extremity",C2883026
"Other atherosclerosis of other type of bypass graft(s) of the extremities, unspecified extremity",C2883027
Chronic total occlusion of artery of the extremities,C1955783
Dissection of unspecified site of aorta,C0340643
Dissection of thoracic aorta,C0340644
Dissection of abdominal aorta,C0837143
Dissection of thoracoabdominal aorta,C0837144
"Thoracic aortic aneurysm, ruptured",C0265010
"Thoracic aortic aneurysm, without rupture",C3251816
"Abdominal aortic aneurysm, ruptured",C0265012
"Abdominal aortic aneurysm, without rupture",C0265011
"Thoracoabdominal aortic aneurysm, ruptured",C1305122
"Thoracoabdominal aortic aneurysm, without rupture",C2883030
"Aortic aneurysm of unspecified site, ruptured",C0741160
"Aortic aneurysm of unspecified site, without rupture",C2883031
Aneurysm of carotid artery,C0340639
Aneurysm of artery of upper extremity,C0155741
Aneurysm of renal artery,C0155742
Aneurysm of iliac artery,C0162870
Aneurysm of artery of lower extremity,C0155744
Aneurysm of other precerebral arteries,C4268546
Aneurysm of vertebral artery,C0574027
Aneurysm of other specified arteries,C0002945
Aneurysm of unspecified site,C0002940
Raynaud's syndrome with gangrene,C2883035
Thromboangiitis obliterans [Buerger's disease],C0040021
Erythromelalgia,C0014804
Other specified peripheral vascular diseases,C0029822|C0553983
"Peripheral vascular disease, unspecified",C0085096
Saddle embolus of abdominal aorta,C0023370
Other arterial embolism and thrombosis of abdominal aorta,C3161092
Embolism and thrombosis of unspecified parts of aorta,C2883039
Embolism and thrombosis of thoracic aorta,C0155750
Embolism and thrombosis of other parts of aorta,C2883040
Embolism and thrombosis of arteries of the upper extremities,C0494620
Embolism and thrombosis of arteries of the lower extremities,C0340589
"Embolism and thrombosis of arteries of extremities, unspecified",C0340579
Embolism and thrombosis of iliac artery,C0155755
Embolism and thrombosis of other arteries,C0348650
Embolism and thrombosis of unspecified artery,C0013924
Atheroembolism of right upper extremity,C2883042
Atheroembolism of left upper extremity,C2883043
Atheroembolism of bilateral upper extremities,C2883044
Atheroembolism of unspecified upper extremity,C2883045
Atheroembolism of right lower extremity,C2883046
Atheroembolism of left lower extremity,C2883047
Atheroembolism of bilateral lower extremities,C2883048
Atheroembolism of unspecified lower extremity,C2883049
Atheroembolism of kidney,C0268792
Atheroembolism of other site,C1135216
Septic arterial embolism,C1955786
"Arteriovenous fistula, acquired",C1541850
Stricture of artery,C0038449
Rupture of artery,C0155760
Arterial fibromuscular dysplasia,C0016052
Celiac artery compression syndrome,C1861783
Necrosis of artery,C0155762
"Arteritis, unspecified",C0003860
Dissection of unspecified artery,C4268548
Dissection of carotid artery,C0338585
Dissection of iliac artery,C0340649
Dissection of renal artery,C0919563
Dissection of vertebral artery,C0338586
Dissection of other precerebral arteries,C4268549
Dissection of artery of upper extremity,C4076498
Dissection of artery of lower extremity,C4268550
Dissection of other specified artery,C1135210
Thoracic aortic ectasia,C2921069
Abdominal aortic ectasia,C2921070
Thoracoabdominal aortic ectasia,C2921071
"Aortic ectasia, unspecified site",C2921068
Other specified disorders of arteries and arterioles,C0155763
"Disorder of arteries and arterioles, unspecified",C0155764
Hereditary hemorrhagic telangiectasia,C0039445
Aneurysm of aorta in diseases classified elsewhere,C0348652
Aortitis in diseases classified elsewhere,C0348653
"Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere",C0348654
Phlebitis and thrombophlebitis of unspecified femoral vein,C2883054
Phlebitis and thrombophlebitis of right femoral vein,C2883055
Phlebitis and thrombophlebitis of left femoral vein,C2883056
"Phlebitis and thrombophlebitis of femoral vein, bilateral",C2883057
Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity,C2883060
Phlebitis and thrombophlebitis of unspecified deep vessels of left lower extremity,C2883061
"Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities, bilateral",C2883062
Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity,C2883063
Phlebitis and thrombophlebitis of right iliac vein,C2883064
Phlebitis and thrombophlebitis of left iliac vein,C2883065
"Phlebitis and thrombophlebitis of iliac vein, bilateral",C2883066
Phlebitis and thrombophlebitis of unspecified iliac vein,C2883067
Phlebitis and thrombophlebitis of right popliteal vein,C2883068
Phlebitis and thrombophlebitis of left popliteal vein,C2883069
"Phlebitis and thrombophlebitis of popliteal vein, bilateral",C2883070
Phlebitis and thrombophlebitis of unspecified popliteal vein,C2883071
Phlebitis and thrombophlebitis of right tibial vein,C2883072
Phlebitis and thrombophlebitis of left tibial vein,C2883073
"Phlebitis and thrombophlebitis of tibial vein, bilateral",C2883074
Phlebitis and thrombophlebitis of unspecified tibial vein,C2883075
Phlebitis and thrombophlebitis of right peroneal vein,C5140814
Phlebitis and thrombophlebitis of left peroneal vein,C5140815
"Phlebitis and thrombophlebitis of peroneal vein, bilateral",C5140816
Phlebitis and thrombophlebitis of unspecified peroneal vein,C5140813
Phlebitis and thrombophlebitis of right calf muscular vein,C5140818
Phlebitis and thrombophlebitis of left calf muscular vein,C5140819
"Phlebitis and thrombophlebitis of calf muscular vein, bilateral",C5140820
Phlebitis and thrombophlebitis of unspecified calf muscular vein,C5140817
Phlebitis and thrombophlebitis of other deep vessels of right lower extremity,C2883076
Phlebitis and thrombophlebitis of other deep vessels of left lower extremity,C2883077
"Phlebitis and thrombophlebitis of other deep vessels of lower extremity, bilateral",C2883078
Phlebitis and thrombophlebitis of other deep vessels of unspecified lower extremity,C2883079
Budd-Chiari syndrome,C0019154|C0856761|C4552743
Acute embolism and thrombosis of superior vena cava,C2883082
Chronic embolism and thrombosis of superior vena cava,C2883083
Acute embolism and thrombosis of inferior vena cava,C2883084
Chronic embolism and thrombosis of inferior vena cava,C2883085
Acute embolism and thrombosis of other thoracic veins,C2883088
Chronic embolism and thrombosis of other thoracic veins,C2883089
Embolism and thrombosis of renal vein,C0155776
Acute embolism and thrombosis of unspecified deep veins of right lower extremity,C2976976
Acute embolism and thrombosis of unspecified deep veins of left lower extremity,C2976977
"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",C2976978
